mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-products-13,products,colour,XML,,/OperationsExport/ProductCatalogue/Product/Colour,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-14,products,supplier_id,XML,,/OperationsExport/ProductCatalogue/Product/Supplier_ID,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-15,products,supplier_country,XML,,/OperationsExport/ProductCatalogue/Product/Supplier_Country,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-16,products,launch_date,XML,,/OperationsExport/ProductCatalogue/Product/Launch_Date,strip; parse exact DD/MM/YYYY; output YYYY-MM-DD,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-DATE-PROD-01; VAL-TIME-PROD-01
MAP-products-17,products,tax_category,XML,,/OperationsExport/ProductCatalogue/Product/Tax_Category,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-18,products,package_type,XML,,/OperationsExport/ProductCatalogue/Product/Package_Type,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-19,products,recyclable_packaging,XML,,/OperationsExport/ProductCatalogue/Product/Recyclable_Packaging,map Y=True and N=False,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-20,products,active_flag,XML,,/OperationsExport/ProductCatalogue/Product/Active_Flag,map Y=True and N=False,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-21,products,product_description_clean,XML,,/OperationsExport/ProductCatalogue/Product/Product_Description,"decode HTML entities; Unicode NFC; remove tags, published markers, URLs, review/promo wrappers and emoji; collapse whitespace; lowercase; literal NaN if empty",XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-TEXT-PROD-01 to VAL-TEXT-PROD-04
MAP-product_reviews-01,product_reviews,review_id,both,$.productReviews[].reviewID,/OperationsExport/ProductReviews/Review/Review_ID,strip whitespace; preserve as string,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-SCHEMA-REV-01; VAL-PK-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-02,product_reviews,order_id,both,$.productReviews[].orderID,/OperationsExport/ProductReviews/Review/Order_ID,strip whitespace; preserve as string,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-SCHEMA-REV-01; VAL-PK-REV-01; VAL-OVERLAP-REV-01; VAL-FK-REV-02 PASS (Member 2 outputs integrated)
MAP-product_reviews-03,product_reviews,order_item_id,both,$.productReviews[].orderItemID,/OperationsExport/ProductReviews/Review/Order_Item_ID,strip whitespace; preserve as string,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-SCHEMA-REV-01; VAL-PK-REV-01; VAL-OVERLAP-REV-01; VAL-FK-REV-02 PASS (Member 2 outputs integrated)
MAP-product_reviews-04,product_reviews,product_id,both,$.productReviews[].productID,/OperationsExport/ProductReviews/Review/Product_ID,strip whitespace; preserve as string,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-SCHEMA-REV-01; VAL-PK-REV-01; VAL-OVERLAP-REV-01; VAL-FK-REV-01
MAP-product_reviews-05,product_reviews,customer_id,both,$.productReviews[].customerID,/OperationsExport/ProductReviews/Review/Customer_ID,strip whitespace; preserve as string,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-SCHEMA-REV-01; VAL-PK-REV-01; VAL-OVERLAP-REV-01; VAL-FK-REV-01
MAP-product_reviews-06,product_reviews,review_timestamp,both,$.productReviews[].reviewTimestamp,/OperationsExport/ProductReviews/Review/Review_Timestamp,parse JSON as YYYY-MM-DD HH:MM:SS and XML as DD/MM/YYYY HH:MM:SS; output YYYY-MM-DD HH:MM:SS,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-DATE-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-07,product_reviews,language_code,both,$.productReviews[].languageCode,/OperationsExport/ProductReviews/Review/Language_Code,strip whitespace; preserve structured source value; do not infer from review text,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-08,product_reviews,rating,both,$.productReviews[].rating,/OperationsExport/ProductReviews/Review/Rating,convert to integer; validate range 1 to 5,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-RANGE-REV-01
MAP-product_reviews-09,product_reviews,review_title,both,$.productReviews[].reviewTitle,/OperationsExport/ProductReviews/Review/Review_Title,apply clean_narrative_text; lower-case cleaned title; use literal NaN if no readable text remains,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-10,product_reviews,review_body_clean,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,"extract references from raw text first; decode HTML entities; NFC normalise; remove tags, published markers, URLs, emoji and wrappers; collapse whitespace; lower-case; use literal NaN if empty",normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-11,product_reviews,review_body_latin_analysis,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,"derive from review_body_clean using build_latin_analysis; retain Latin-script letters including diacritics, digits and applicable punctuation; use literal NaN if no Latin letter remains",normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01
MAP-product_reviews-12,product_reviews,verified_purchase,both,$.productReviews[].verifiedPurchase,/OperationsExport/ProductReviews/Review/Verified_Purchase,preserve JSON boolean; map XML Y to True and N to False,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-13,product_reviews,helpful_votes,both,$.productReviews[].helpfulVotes,/OperationsExport/ProductReviews/Review/Helpful_Votes,convert to non-negative integer,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-RANGE-REV-01
MAP-product_reviews-14,product_reviews,review_length_chars,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Python character count of review_body_clean; return 0 for literal NaN rather than counting the sentinel,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01; VAL-RANGE-REV-01
MAP-product_reviews-15,product_reviews,review_word_count,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,count whitespace-separated tokens in review_body_clean; return 0 for literal NaN,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01; VAL-RANGE-REV-01
MAP-product_reviews-16,product_reviews,contains_non_latin_script,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,derive Python bool from review_body_clean; True when any letter is outside the Latin script,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TEXT-REV-01
MAP-product_reviews-17,product_reviews,extracted_order_reference,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,extract bounded HORD or CORD plus exactly six digits from raw review text; upper-case; literal NaN when absent,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Solution §3.2 and §4.6; TXT-04; TXT-06; TXT-11
MAP-product_reviews-18,product_reviews,extracted_product_sku,derived,$.productReviews[].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,extract bounded SKU- plus ASCII letters or digits from raw review text; upper-case; literal NaN when absent,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Solution §3.2 and §4.6; TXT-05; TXT-12
MAP-product_reviews-19,product_reviews,delivery_experience,both,$.productReviews[].deliveryExperience,/OperationsExport/ProductReviews/Review/Delivery_Experience,strip whitespace; preserve structured category,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-20,product_reviews,value_experience,both,$.productReviews[].valueExperience,/OperationsExport/ProductReviews/Review/Value_Experience,strip whitespace; preserve structured category,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-OVERLAP-REV-01
MAP-product_reviews-21,product_reviews,writing_style,both,$.productReviews[].writingStyle,/OperationsExport/ProductReviews/Review/Writing_Style,strip whitespace; preserve structured category,normalise comparable fields first; reconcile on review_id; coalesce identical overlap; record any differing non-missing value as a conflict rather than silently preferring a source,Member3 notebook; VAL-TYPE-REV-01; VAL-OVERLAP-REV-01
